True Values,Predicted Values
180.1,178.9251559849357
217.8,216.78272738538146
145.8,138.91220095498184
173.5,175.5173884131677
138.7,143.1281389457021
239.3,238.16008848652407
191.4,198.26360243863627
196.4,195.60305940631363
133.2,128.1314698190661
173.8,164.43149322161148
144.0,138.0818392921257
149.8,147.82204200277295
142.9,141.88116862724254
181.9,179.79283779628952
236.5,237.77637844740968
128.6,127.16160996401307
126.1,129.37772602166376
187.6,200.2235965586409
197.4,229.4989001985446
148.2,154.9545374849764
127.9,131.65763383727239
157.3,152.75827267074837
119.8,126.45261836411353
154.0,152.22988693007795
144.4,150.88893863769616
166.4,167.84163356714126
137.7,135.36887130450066
140.5,134.3321198994854
183.0,186.3967947646132
162.8,149.39606924534576
131.8,132.14994841079448
137.1,130.28341900268802
146.6,143.33891335041028
208.9,190.21547247664677
209.3,196.23029634361814
140.4,129.72100824806387
199.2,210.91204557586883
158.2,165.60126863527958
164.9,169.07151631579234
123.9,130.55935028935647
184.4,195.05808231427778
167.5,162.91479082367627
168.1,156.86037956353175
178.4,179.79283779628952
131.1,134.32426848809598
144.0,149.19189263364464
203.0,202.70531321198987
156.1,148.29892329429077
135.7,138.64097182835405
163.8,169.19721374043704
175.5,171.15216183048133
203.7,198.85011502808433
131.3,139.44946715305204
147.1,147.09232627645784
128.4,134.98582587176256
169.4,174.92475931820994
233.9,227.99945539563385
142.8,143.66659723080247
156.8,162.9310942722106
248.5,241.12861158163494
136.7,137.46848157435278
189.3,187.08858438118102
147.1,148.00664191485563
148.0,135.63109244203915
174.9,169.84415191231668
154.7,158.97648332313514
198.9,196.9389005373287
182.2,183.65267520048548
235.2,228.62406856546247
157.3,150.8807438929611
238.4,240.64688255338655
188.4,215.0025226232253
211.3,205.6068616503313
131.3,134.58058286201936
178.1,170.8408989103492
145.6,144.45788705914902
200.5,210.91204557586883
175.5,171.6437125267759
131.9,139.2865513120459
169.0,171.94845828286904
155.3,150.25002350863227
169.3,169.49233292762625
200.6,194.3687891356531
151.8,144.04415811053914
134.3,133.34757503378862
133.4,139.02897228463553
173.5,168.15661965196284
172.4,185.05140382919276
131.4,143.63102451020993
140.2,141.7509360899742
117.9,126.17469901529424
223.6,229.91378547384494
197.7,203.24110002415145
153.4,160.685892746203
211.6,197.98691531717006
140.5,137.4495578601585
159.5,155.32038037987093
143.8,133.5372082609103
163.1,142.89546997116778
126.5,133.26665438764175
207.7,204.56714484832779
147.4,144.40523570850783
186.3,138.92276190920614
141.8,137.26645246691342
202.4,207.921264894429
141.0,140.64070749501536
177.3,173.12602259724704
137.4,132.4358252050751
133.2,141.21576958542752
135.3,135.2389779587854
157.8,161.75114870684857
198.7,200.45020847772616
180.0,178.9251559849357
143.8,132.0004593922514
154.2,158.47022579030124
178.6,179.79283779628952
154.5,149.07938183167806
133.3,133.16708373233809
140.2,147.4656761067804
208.1,204.56714484832779
129.9,138.20554921458654
169.7,174.18166466734303
167.5,170.24137797190622
170.2,148.7160498854296
224.3,228.14125844166384
128.0,136.01423149285264
155.1,165.79252012385177
131.0,166.562394668942
116.3,123.24481057165427
149.5,160.13924239341114
141.8,143.14978875915054
138.3,142.41519024215842
204.2,195.2332649881951
195.0,190.74923880594466
144.0,147.82204200277295
121.1,163.8045649341925
117.7,121.78891921765702
143.5,139.07414491689602
136.3,143.06140875844716
173.9,169.07151631579234
217.5,186.84569207202196
118.0,121.85882631408242
135.1,132.14994841079448
218.2,221.20265312302305
166.6,165.23542734886405
174.3,169.05146662655207
131.9,139.14030743027234
145.0,149.29229926496456
143.5,132.02025265973657
242.8,219.9983231091822
183.3,167.55822316825132
132.4,133.34757503378862
153.9,142.83722102056765
176.8,179.79283779628952
123.3,133.04143826812236
152.9,147.92234209021242
135.7,140.0923469153655
159.3,141.21576958542752
132.9,136.6093278320763
146.6,148.3603394585948
137.7,137.537751327117
222.5,217.79802076393867
176.9,176.57681857247542
129.6,129.99181982418506
132.7,133.34757503378862
227.2,221.20265312302305
147.3,135.64186034645235
165.1,170.97276145153097
247.2,243.7527173545002
156.2,169.2594157322252
197.4,196.80899426744148
155.6,202.16811725036555
184.2,182.95807980405698
166.0,167.97945550185563
130.3,136.62894759070676
194.7,198.45408776209567
133.0,131.39610919885428
136.1,141.44533153716452
146.3,147.92234209021242
186.6,184.9972003842452
202.9,204.22840927570545
155.2,150.05070082810633
246.8,242.98797752075322
119.1,127.97915280209244
147.0,153.92738369415284
201.7,198.037598686856
194.2,197.4652085735804
150.3,157.96161533913912
176.2,179.17847183308695
110.8,119.27894525775227
153.9,149.39606924534576
161.1,164.35404665521918
191.9,185.52295979457546
182.7,178.42628704659657
181.3,188.04634207077322
137.3,143.55175798020846
119.7,132.0990112272569
156.3,159.52784031153143
213.4,223.54507413392247
134.4,126.48792113709041
