CCS,Molecular_Weight,LogP,H_Donors,H_Acceptors,Rotatable_Bonds,SMILES,TPSA
152.7,208.21699999999998,0.2535000000000001,3.0,4.0,4.0,Nc1ccccc1C(=O)CC(N)C(=O)O,106.41000000000001
149.6,208.21699999999998,0.2535000000000001,3.0,4.0,4.0,Nc1ccccc1C(=O)CC(N)C(=O)O,106.41000000000001
160.2,207.229,0.9336,2.0,3.0,6.0,O=C(O)CNCCC(=O)c1ccccc1,66.4
148.5,207.229,0.9336,2.0,3.0,6.0,O=C(O)CNCCC(=O)c1ccccc1,66.4
149.7,207.229,0.9336,2.0,3.0,6.0,O=C(O)CNCCC(=O)c1ccccc1,66.4
140.1,321.14700000000005,3.7170000000000014,0.0,9.0,6.0,COP1(OC)=NP(OC)(OC)=NP(OC)(OC)=N1,92.46000000000001
153.4,321.14700000000005,3.7170000000000014,0.0,9.0,6.0,COP1(OC)=NP(OC)(OC)=NP(OC)(OC)=N1,92.46000000000001
167.7,321.14700000000005,3.7170000000000014,0.0,9.0,6.0,COP1(OC)=NP(OC)(OC)=NP(OC)(OC)=N1,92.46000000000001
153.5,321.14700000000005,3.7170000000000014,0.0,9.0,6.0,COP1(OC)=NP(OC)(OC)=NP(OC)(OC)=N1,92.46000000000001
134.7,134.13099999999997,-1.5531,3.0,4.0,0.0,O[C@@H]1C[C@H](O)[C@H](O)CO1,69.92
162.8,278.354,6.299400000000003,0.0,0.0,0.0,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,0.0
161.1,278.354,6.299400000000003,0.0,0.0,0.0,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,0.0
234.5,610.6250000000003,-1.336029999999992,12.0,10.0,19.0,N=C(N)NCCC[C@H](N=C(O)[C@H](CC(=O)O)N=C(O)[C@H](CO)N=C(O)[C@H](CO)N=C(O)[C@@H](N)Cc1ccccc1)C(=O)O,333.34
154.5,226.23600000000002,-0.289299999999999,4.0,4.0,6.0,NCCC(O)=N[C@@H](Cc1cnc[nH]1)C(=O)O,124.58999999999999
153.1,226.23600000000002,-0.289299999999999,4.0,4.0,6.0,NCCC(O)=N[C@@H](Cc1cnc[nH]1)C(=O)O,124.58999999999999
150.8,226.23600000000002,-0.289299999999999,4.0,4.0,6.0,NCCC(O)=N[C@@H](Cc1cnc[nH]1)C(=O)O,124.58999999999999
247.4,654.6819999999999,0.2210000000000088,11.0,11.0,21.0,C[C@H](N)C(O)=N[C@@H](C)C(O)=NCC(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@@H](CC(=O)O)C(O)=NCC(O)=N[C@@H](CCCCN)C(=O)O,350.86
246.4,658.7539999999999,2.274870000000008,11.0,10.0,22.0,CC[C@H](C)[C@H](N=C(O)[C@H](CC(=N)O)N=C(O)[C@H](C)N)C(O)=N[C@@H](CC(=O)O)C(O)=N[C@H](C(O)=N[C@@H](CCCCN)C(=O)O)C(C)C,333.67
247.4,731.7609999999999,0.4132700000000111,13.0,11.0,24.0,CC(C)[C@H](N)C(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](CC(=O)O)C(O)=N[C@H](C(O)=N[C@@H](CC(=O)O)C(O)=N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C,400.07
133.0,180.206,3.0493000000000023,0.0,1.0,0.0,O=C1C=Cc2cccc3cccc1c23,17.07
147.2,228.29399999999998,5.146200000000002,0.0,0.0,0.0,c1ccc2c(c1)ccc1c3ccccc3ccc21,0.0
144.9,228.29399999999998,5.146200000000002,0.0,0.0,0.0,c1ccc2c(c1)ccc1c3ccccc3ccc21,0.0
157.3,244.29299999999998,4.851800000000003,1.0,1.0,0.0,Oc1cc2c3ccccc3ccc2c2ccccc12,20.23
147.5,228.29399999999998,5.146200000000002,0.0,0.0,0.0,c1ccc2c(c1)c1ccccc1c1ccccc21,0.0
143.6,228.29399999999998,5.146200000000002,0.0,0.0,0.0,c1ccc2c(c1)c1ccccc1c1ccccc21,0.0
210.8,720.6599999999999,17.73000000000001,0.0,0.0,0.0,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41,0.0
143.9,206.28799999999998,4.609840000000003,0.0,0.0,0.0,Cc1ccc2ccc3ccc(C)cc3c2c1,0.0
142.8,206.28799999999998,4.609840000000003,0.0,0.0,0.0,Cc1ccc2ccc3ccc(C)cc3c2c1,0.0
151.5,252.31599999999997,5.737200000000002,0.0,0.0,0.0,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,0.0
149.6,252.31599999999997,5.737200000000002,0.0,0.0,0.0,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,0.0
150.9,252.31599999999997,5.6300000000000034,0.0,0.0,0.0,C1=Cc2c3ccc4ccccc4c3cc3cccc1c23,0.0
150.2,252.31599999999997,5.640400000000002,0.0,0.0,0.0,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,0.0
144.0,230.266,4.051200000000002,0.0,1.0,0.0,O=C1c2ccccc2-c2cccc3cccc1c23,17.07
142.9,230.266,4.051200000000002,0.0,1.0,0.0,O=C1c2ccccc2-c2cccc3cccc1c23,17.07
132.6,178.23399999999998,3.993000000000002,0.0,0.0,0.0,c1ccc2c(c1)ccc1ccccc12,0.0
131.2,178.23399999999998,3.993000000000002,0.0,0.0,0.0,c1ccc2c(c1)ccc1ccccc12,0.0
126.5,152.149,1.3175,1.0,3.0,1.0,CC(=O)Oc1cccc(O)c1,46.53
188.6,242.27099999999993,0.0373,3.0,5.0,7.0,COc1ccccc1OCC(CO)(CO)CO,79.15
184.3,242.27099999999993,0.0373,3.0,5.0,7.0,COc1ccccc1OCC(CO)(CO)CO,79.15
183.2,242.27099999999993,0.0373,3.0,5.0,7.0,COc1ccccc1OCC(CO)(CO)CO,79.15
188.1,242.27099999999993,0.0373,3.0,5.0,7.0,COc1ccccc1OCC(CO)(CO)CO,79.15
